Month,fecha,Cost
1991 jul.,1991-07-01,0.429795
1991 ago.,1991-08-01,0.400906
1991 sep.,1991-09-01,0.432159
1991 oct.,1991-10-01,0.492543
1991 nov.,1991-11-01,0.502369
1991 dic.,1991-12-01,0.602652
1992 ene.,1992-01-01,0.660119
1992 feb.,1992-02-01,0.33622
1992 mar.,1992-03-01,0.351348
1992 abr.,1992-04-01,0.379808
1992 may.,1992-05-01,0.361801
1992 jun.,1992-06-01,0.410534
1992 jul.,1992-07-01,0.48338866999999996
1992 ago.,1992-08-01,0.47546341999999997
1992 sep.,1992-09-01,0.53476104
1992 oct.,1992-10-01,0.56860613
1992 nov.,1992-11-01,0.5952232900000001
1992 dic.,1992-12-01,0.77125778
1993 ene.,1993-01-01,0.7515028
1993 feb.,1993-02-01,0.38755434000000005
1993 mar.,1993-03-01,0.42728322
1993 abr.,1993-04-01,0.41389018000000005
1993 may.,1993-05-01,0.42885882000000003
1993 jun.,1993-06-01,0.47012642000000004
1993 jul.,1993-07-01,0.50920969
1993 ago.,1993-08-01,0.558443
1993 sep.,1993-09-01,0.6015140600000001
1993 oct.,1993-10-01,0.6329471
1993 nov.,1993-11-01,0.69960539
1993 dic.,1993-12-01,0.9630805100000001
1994 ene.,1994-01-01,0.81932534
1994 feb.,1994-02-01,0.43766980000000005
1994 mar.,1994-03-01,0.5061212700000001
1994 abr.,1994-04-01,0.47049116999999996
1994 may.,1994-05-01,0.5106962599999999
1994 jun.,1994-06-01,0.54051379
1994 jul.,1994-07-01,0.5581189200000001
1994 ago.,1994-08-01,0.67285206
1994 sep.,1994-09-01,0.68589738
1994 oct.,1994-10-01,0.68969198
1994 nov.,1994-11-01,0.74130358
1994 dic.,1994-12-01,0.8133076300000001
1995 ene.,1995-01-01,0.80311257
1995 feb.,1995-02-01,0.47525824000000005
1995 mar.,1995-03-01,0.5525722999999999
1995 abr.,1995-04-01,0.5271078199999999
1995 may.,1995-05-01,0.5612498199999999
1995 jun.,1995-06-01,0.58897764
1995 jul.,1995-07-01,0.6231336199999999
1995 ago.,1995-08-01,0.74083723
1995 sep.,1995-09-01,0.72537176
1995 oct.,1995-10-01,0.81580302
1995 nov.,1995-11-01,0.81400947
1995 dic.,1995-12-01,0.9266530500000001
1996 ene.,1996-01-01,0.93727594
1996 feb.,1996-02-01,0.52876165
1996 mar.,1996-03-01,0.5593399400000001
1996 abr.,1996-04-01,0.5778716599999999
1996 may.,1996-05-01,0.6149274100000001
1996 jun.,1996-06-01,0.59418877
1996 jul.,1996-07-01,0.70775844
1996 ago.,1996-08-01,0.7195019500000001
1996 sep.,1996-09-01,0.74432369
1996 oct.,1996-10-01,0.80485511
1996 nov.,1996-11-01,0.7885423500000001
1996 dic.,1996-12-01,0.9710894
1997 ene.,1997-01-01,0.84683354
1997 feb.,1997-02-01,0.46382251999999996
1997 mar.,1997-03-01,0.48527317
1997 abr.,1997-04-01,0.5280585999999999
1997 may.,1997-05-01,0.5623364700000001
1997 jun.,1997-06-01,0.5885704
1997 jul.,1997-07-01,0.66948036
1997 ago.,1997-08-01,0.67799365
1997 sep.,1997-09-01,0.76299549
1997 oct.,1997-10-01,0.79972374
1997 nov.,1997-11-01,0.7705219200000001
1997 dic.,1997-12-01,0.99438934
1998 ene.,1998-01-01,0.8005444300000001
1998 feb.,1998-02-01,0.49055721
1998 mar.,1998-03-01,0.52440799
1998 abr.,1998-04-01,0.53664948
1998 may.,1998-05-01,0.55209054
1998 jun.,1998-06-01,0.60336564
1998 jul.,1998-07-01,0.68124538
1998 ago.,1998-08-01,0.67807535
1998 sep.,1998-09-01,0.79489265
1998 oct.,1998-10-01,0.7846239
1998 nov.,1998-11-01,0.8130087
1998 dic.,1998-12-01,0.9777323
1999 ene.,1999-01-01,0.89308148
1999 feb.,1999-02-01,0.51269597
1999 mar.,1999-03-01,0.65299589
1999 abr.,1999-04-01,0.5739764
1999 may.,1999-05-01,0.6392384200000001
1999 jun.,1999-06-01,0.70387188
1999 jul.,1999-07-01,0.7706482400000001
1999 ago.,1999-08-01,0.8461858800000001
1999 sep.,1999-09-01,0.89272889
1999 oct.,1999-10-01,0.89789988
1999 nov.,1999-11-01,0.94728069
1999 dic.,1999-12-01,1.05070727
2000 ene.,2000-01-01,0.9696556700000001
2000 feb.,2000-02-01,0.57329151
2000 mar.,2000-03-01,0.61850684
2000 abr.,2000-04-01,0.61899573
2000 may.,2000-05-01,0.6652092199999999
2000 jun.,2000-06-01,0.72652015
2000 jul.,2000-07-01,0.8558649399999999
2000 ago.,2000-08-01,0.86598429
2000 sep.,2000-09-01,0.82524883
2000 oct.,2000-10-01,0.9554210200000001
2000 nov.,2000-11-01,0.93859596
2000 dic.,2000-12-01,1.01302442
2001 ene.,2001-01-01,1.04380535
2001 feb.,2001-02-01,0.51064725
2001 mar.,2001-03-01,0.6725690099999999
2001 abr.,2001-04-01,0.64847006
2001 may.,2001-05-01,0.70411469
2001 jun.,2001-06-01,0.69943075
2001 jul.,2001-07-01,0.8519258700000001
2001 ago.,2001-08-01,0.9077052000000001
2001 sep.,2001-09-01,0.8674444700000001
2001 oct.,2001-10-01,1.02429281
2001 nov.,2001-11-01,1.10959022
2001 dic.,2001-12-01,1.0123132300000002
2002 ene.,2002-01-01,1.14586761
2002 feb.,2002-02-01,0.57558438
2002 mar.,2002-03-01,0.64116459
2002 abr.,2002-04-01,0.6798620700000001
2002 may.,2002-05-01,0.7679383999999999
2002 jun.,2002-06-01,0.75209591
2002 jul.,2002-07-01,0.9180635899999999
2002 ago.,2002-08-01,0.92436753
2002 sep.,2002-09-01,1.0131976699999998
2002 oct.,2002-10-01,1.02697609
2002 nov.,2002-11-01,1.00679597
2002 dic.,2002-12-01,1.10277568
2003 ene.,2003-01-01,1.0781448699999998
2003 feb.,2003-02-01,0.57829619
2003 mar.,2003-03-01,0.64333332
2003 abr.,2003-04-01,0.66336735
2003 may.,2003-05-01,0.750516
2003 jun.,2003-06-01,0.80074564
2003 jul.,2003-07-01,0.91636103
2003 ago.,2003-08-01,0.91688682
2003 sep.,2003-09-01,1.0846589300000002
2003 oct.,2003-10-01,1.1506482199999999
2003 nov.,2003-11-01,1.05083821
2003 dic.,2003-12-01,1.22323454
2004 ene.,2004-01-01,1.1301252099999999
2004 feb.,2004-02-01,0.6679886700000001
2004 mar.,2004-03-01,0.7490142799999999
2004 abr.,2004-04-01,0.73998602
2004 may.,2004-05-01,0.79512863
2004 jun.,2004-06-01,0.85680282
2004 jul.,2004-07-01,1.00159317
2004 ago.,2004-08-01,0.99486433
2004 sep.,2004-09-01,1.134432
2004 oct.,2004-10-01,1.181011
2004 nov.,2004-11-01,1.216037
2004 dic.,2004-12-01,1.257238
2005 ene.,2005-01-01,1.17069
2005 feb.,2005-02-01,0.597639
2005 mar.,2005-03-01,0.65259
2005 abr.,2005-04-01,0.670505
2005 may.,2005-05-01,0.695248
2005 jun.,2005-06-01,0.842263
2005 jul.,2005-07-01,0.874336
2005 ago.,2005-08-01,1.006497
2005 sep.,2005-09-01,1.094736
2005 oct.,2005-10-01,1.027043
2005 nov.,2005-11-01,1.149232
2005 dic.,2005-12-01,1.160712
2006 ene.,2006-01-01,1.230691
2006 feb.,2006-02-01,0.587135
2006 mar.,2006-03-01,0.706959
2006 abr.,2006-04-01,0.639641
2006 may.,2006-05-01,0.807405
2006 jun.,2006-06-01,0.79797
2006 jul.,2006-07-01,0.884312
2006 ago.,2006-08-01,1.049648
2006 sep.,2006-09-01,0.995709
2006 oct.,2006-10-01,1.168253
2006 nov.,2006-11-01,1.108038
2006 dic.,2006-12-01,1.120053
2007 ene.,2007-01-01,1.223319
2007 feb.,2007-02-01,0.597753
2007 mar.,2007-03-01,0.704398
2007 abr.,2007-04-01,0.56176
2007 may.,2007-05-01,0.745258
2007 jun.,2007-06-01,0.837934
2007 jul.,2007-07-01,0.954144
2007 ago.,2007-08-01,1.07821949
2007 sep.,2007-09-01,1.11098161
2007 oct.,2007-10-01,1.1099791399999999
2007 nov.,2007-11-01,1.1635343
2007 dic.,2007-12-01,1.176589
2008 ene.,2008-01-01,1.219941
2008 feb.,2008-02-01,0.761822
2008 mar.,2008-03-01,0.649435
2008 abr.,2008-04-01,0.827887
2008 may.,2008-05-01,0.816255
2008 jun.,2008-06-01,0.762137
